customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered,issue_resolved_bin,complaint_registered_bin,review_text_clean,sentiment_score_label,response_time_bucket
49,other,26-35,central,automobile,online,paytm mall,3,average experience overall.,neutral,53,no,no,0,0,average experience overall,0,>48h
50,other,46-60,west,automobile,online,bigbasket,4,fast delivery and great packaging.,positive,16,yes,no,1,0,fast delivery and great packaging,1,12-24h
51,other,18-25,central,books,online,reliance digital,4,"amazing experience, highly recommend!",positive,9,yes,no,1,0,amazing experience highly recommend,1,<12h
52,male,18-25,east,electronics,online,shopclues,2,product stopped working after few days.,negative,35,yes,yes,1,1,product stopped working after few days,-1,24-48h
53,female,18-25,east,groceries,online,croma,2,late delivery and poor packaging.,negative,34,yes,yes,1,1,late delivery and poor packaging,-1,24-48h
54,female,46-60,central,home & kitchen,online,flipkart,5,fast delivery and great packaging.,positive,32,yes,no,1,0,fast delivery and great packaging,1,24-48h
55,female,36-45,west,sports,online,reliance digital,5,excellent product! exceeded expectations.,positive,45,yes,no,1,0,excellent product exceeded expectations,1,24-48h
56,male,18-25,west,travel,online,zepto,5,"amazing experience, highly recommend!",positive,47,yes,no,1,0,amazing experience highly recommend,1,24-48h
57,female,46-60,central,fashion,online,nykaa,5,very satisfied with the quality.,positive,25,yes,no,1,0,very satisfied with the quality,1,24-48h
58,male,46-60,south,sports,online,reliance digital,3,"product is okay, nothing special.",neutral,29,yes,no,1,0,product is okay nothing special,0,24-48h
59,other,46-60,north,groceries,online,paytm mall,2,product stopped working after few days.,negative,61,no,yes,0,1,product stopped working after few days,-1,>48h
60,other,18-25,north,beauty,online,jiomart,5,excellent product! exceeded expectations.,positive,58,no,no,0,0,excellent product exceeded expectations,1,>48h
61,other,60+,east,travel,online,nykaa,3,"product is okay, nothing special.",neutral,13,yes,no,1,0,product is okay nothing special,0,12-24h
62,other,18-25,central,automobile,online,lenskart,5,"amazing experience, highly recommend!",positive,17,yes,no,1,0,amazing experience highly recommend,1,12-24h
63,female,36-45,central,electronics,online,snapdeal,4,great value for money.,positive,42,yes,no,1,0,great value for money,1,24-48h
64,other,36-45,north,groceries,online,paytm mall,4,fast delivery and great packaging.,positive,36,yes,no,1,0,fast delivery and great packaging,1,24-48h
65,female,26-35,north,automobile,online,paytm mall,4,excellent product! exceeded expectations.,positive,45,yes,no,1,0,excellent product exceeded expectations,1,24-48h
66,male,26-35,west,electronics,online,snapdeal,5,fast delivery and great packaging.,positive,57,no,no,0,0,fast delivery and great packaging,1,>48h
67,other,18-25,south,beauty,online,others,1,customer service was unhelpful.,negative,26,yes,yes,1,1,customer service was unhelpful,-1,24-48h
68,female,36-45,east,beauty,online,ajio,1,product stopped working after few days.,negative,20,yes,yes,1,1,product stopped working after few days,-1,12-24h
69,male,46-60,north,electronics,online,lenskart,2,late delivery and poor packaging.,negative,1,yes,yes,1,1,late delivery and poor packaging,-1,<12h
70,female,26-35,north,travel,online,swiggy instamart,2,not worth the price.,negative,17,yes,yes,1,1,not worth the price,-1,12-24h
71,other,36-45,east,groceries,online,facebook marketplace,3,works fine but could be better.,neutral,69,no,no,0,0,works fine but could be better,0,>48h
72,male,60+,west,home & kitchen,online,jiomart,1,late delivery and poor packaging.,negative,41,yes,yes,1,1,late delivery and poor packaging,-1,24-48h
73,female,26-35,central,electronics,online,myntra,3,works fine but could be better.,neutral,63,no,no,0,0,works fine but could be better,0,>48h
74,male,26-35,east,electronics,online,paytm mall,1,not worth the price.,negative,39,yes,yes,1,1,not worth the price,-1,24-48h
75,other,18-25,west,fashion,online,swiggy instamart,4,great value for money.,positive,67,no,no,0,0,great value for money,1,>48h
76,female,36-45,central,automobile,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,68,no,no,0,0,amazing experience highly recommend,1,>48h
77,male,26-35,east,home & kitchen,online,snapdeal,5,very satisfied with the quality.,positive,24,yes,no,1,0,very satisfied with the quality,1,12-24h
78,male,60+,south,beauty,online,myntra,2,customer service was unhelpful.,negative,58,no,yes,0,1,customer service was unhelpful,-1,>48h
79,female,26-35,central,sports,online,lenskart,1,very disappointed with the quality.,negative,9,yes,yes,1,1,very disappointed with the quality,-1,<12h
80,other,46-60,north,groceries,online,shopclues,2,very disappointed with the quality.,negative,22,yes,yes,1,1,very disappointed with the quality,-1,12-24h
81,other,18-25,south,groceries,online,snapdeal,4,very satisfied with the quality.,positive,31,yes,no,1,0,very satisfied with the quality,1,24-48h
82,female,26-35,north,beauty,online,ajio,3,"delivery was fine, product is decent.",neutral,11,yes,no,1,0,delivery was fine product is decent,0,<12h
83,male,18-25,west,travel,online,reliance digital,2,customer service was unhelpful.,negative,4,yes,yes,1,1,customer service was unhelpful,-1,<12h
84,other,36-45,south,travel,online,zepto,1,very disappointed with the quality.,negative,18,yes,yes,1,1,very disappointed with the quality,-1,12-24h
85,female,18-25,south,home & kitchen,online,flipkart,1,late delivery and poor packaging.,negative,24,yes,yes,1,1,late delivery and poor packaging,-1,12-24h
86,other,18-25,west,home & kitchen,online,reliance digital,5,very satisfied with the quality.,positive,29,yes,no,1,0,very satisfied with the quality,1,24-48h
87,male,36-45,south,groceries,online,reliance digital,5,very satisfied with the quality.,positive,41,yes,no,1,0,very satisfied with the quality,1,24-48h
88,male,36-45,south,fashion,online,jiomart,5,great value for money.,positive,7,yes,no,1,0,great value for money,1,<12h
89,other,26-35,east,sports,online,ajio,3,average experience overall.,neutral,47,yes,no,1,0,average experience overall,0,24-48h
90,other,36-45,north,beauty,online,facebook marketplace,1,not worth the price.,negative,19,yes,yes,1,1,not worth the price,-1,12-24h
91,female,36-45,central,beauty,online,croma,4,"amazing experience, highly recommend!",positive,58,no,no,0,0,amazing experience highly recommend,1,>48h
92,other,46-60,central,beauty,online,lenskart,3,average experience overall.,neutral,57,no,no,0,0,average experience overall,0,>48h
93,other,36-45,west,books,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,43,yes,no,1,0,excellent product exceeded expectations,1,24-48h
94,female,60+,north,fashion,online,bigbasket,3,"delivery was fine, product is decent.",neutral,42,yes,no,1,0,delivery was fine product is decent,0,24-48h
95,other,26-35,east,automobile,online,boat,2,customer service was unhelpful.,negative,27,yes,yes,1,1,customer service was unhelpful,-1,24-48h
96,male,18-25,south,sports,online,boat,4,fast delivery and great packaging.,positive,3,yes,no,1,0,fast delivery and great packaging,1,<12h
97,male,36-45,north,books,online,amazon,5,fast delivery and great packaging.,positive,43,yes,no,1,0,fast delivery and great packaging,1,24-48h
98,other,18-25,central,sports,online,flipkart,2,very disappointed with the quality.,negative,1,yes,yes,1,1,very disappointed with the quality,-1,<12h
99,female,46-60,east,automobile,online,reliance digital,2,product stopped working after few days.,negative,61,no,yes,0,1,product stopped working after few days,-1,>48h
100,male,26-35,west,sports,online,paytm mall,1,product stopped working after few days.,negative,28,yes,yes,1,1,product stopped working after few days,-1,24-48h
101,other,26-35,west,automobile,online,bigbasket,4,"amazing experience, highly recommend!",positive,39,yes,no,1,0,amazing experience highly recommend,1,24-48h
102,male,36-45,south,groceries,online,meesho,1,customer service was unhelpful.,negative,3,yes,yes,1,1,customer service was unhelpful,-1,<12h
103,other,18-25,south,travel,online,facebook marketplace,4,fast delivery and great packaging.,positive,24,yes,no,1,0,fast delivery and great packaging,1,12-24h
104,male,26-35,central,home & kitchen,online,reliance digital,4,very satisfied with the quality.,positive,22,yes,no,1,0,very satisfied with the quality,1,12-24h
105,other,60+,central,automobile,online,flipkart,2,product stopped working after few days.,negative,40,yes,yes,1,1,product stopped working after few days,-1,24-48h
106,other,46-60,east,home & kitchen,online,jiomart,3,works fine but could be better.,neutral,17,yes,no,1,0,works fine but could be better,0,12-24h
107,other,36-45,east,books,online,croma,2,late delivery and poor packaging.,negative,19,yes,yes,1,1,late delivery and poor packaging,-1,12-24h
108,female,36-45,north,books,online,reliance digital,4,excellent product! exceeded expectations.,positive,35,yes,no,1,0,excellent product exceeded expectations,1,24-48h
109,female,36-45,south,fashion,online,bigbasket,1,late delivery and poor packaging.,negative,41,yes,yes,1,1,late delivery and poor packaging,-1,24-48h
110,other,60+,north,sports,online,tata cliq,3,"product is okay, nothing special.",neutral,40,yes,no,1,0,product is okay nothing special,0,24-48h
111,male,60+,central,beauty,online,flipkart,3,"product is okay, nothing special.",neutral,24,yes,no,1,0,product is okay nothing special,0,12-24h
112,other,36-45,central,groceries,online,myntra,4,"amazing experience, highly recommend!",positive,49,no,no,0,0,amazing experience highly recommend,1,>48h
113,female,60+,north,home & kitchen,online,lenskart,5,"amazing experience, highly recommend!",positive,10,yes,no,1,0,amazing experience highly recommend,1,<12h
114,female,18-25,south,sports,online,facebook marketplace,4,very satisfied with the quality.,positive,31,yes,no,1,0,very satisfied with the quality,1,24-48h
115,female,26-35,south,books,online,tata cliq,2,late delivery and poor packaging.,negative,70,no,yes,0,1,late delivery and poor packaging,-1,>48h
116,female,26-35,central,groceries,online,amazon,2,not worth the price.,negative,43,yes,yes,1,1,not worth the price,-1,24-48h
117,male,46-60,east,groceries,online,meesho,3,"product is okay, nothing special.",neutral,11,yes,no,1,0,product is okay nothing special,0,<12h
118,male,46-60,north,books,online,jiomart,4,great value for money.,positive,44,yes,no,1,0,great value for money,1,24-48h
119,male,36-45,east,automobile,online,meesho,2,product stopped working after few days.,negative,58,no,yes,0,1,product stopped working after few days,-1,>48h
120,male,26-35,north,automobile,online,amazon,2,late delivery and poor packaging.,negative,24,yes,yes,1,1,late delivery and poor packaging,-1,12-24h
121,female,36-45,west,sports,online,croma,4,fast delivery and great packaging.,positive,14,yes,no,1,0,fast delivery and great packaging,1,12-24h
122,other,26-35,central,electronics,online,swiggy instamart,1,not worth the price.,negative,21,yes,yes,1,1,not worth the price,-1,12-24h
123,female,36-45,north,fashion,online,myntra,5,great value for money.,positive,54,no,no,0,0,great value for money,1,>48h
124,female,26-35,central,electronics,online,boat,5,very satisfied with the quality.,positive,48,no,no,0,0,very satisfied with the quality,1,24-48h
125,other,60+,west,home & kitchen,online,bigbasket,1,very disappointed with the quality.,negative,47,yes,yes,1,1,very disappointed with the quality,-1,24-48h
126,female,46-60,north,electronics,online,zepto,4,fast delivery and great packaging.,positive,17,yes,no,1,0,fast delivery and great packaging,1,12-24h
127,male,18-25,south,beauty,online,ajio,3,neutral about the quality.,neutral,5,yes,no,1,0,neutral about the quality,0,<12h
128,other,60+,north,electronics,online,facebook marketplace,4,very satisfied with the quality.,positive,5,yes,no,1,0,very satisfied with the quality,1,<12h
129,female,46-60,central,travel,online,myntra,4,great value for money.,positive,36,yes,no,1,0,great value for money,1,24-48h
130,female,26-35,west,beauty,online,jiomart,2,very disappointed with the quality.,negative,4,yes,yes,1,1,very disappointed with the quality,-1,<12h
131,female,36-45,south,electronics,online,lenskart,5,very satisfied with the quality.,positive,67,no,no,0,0,very satisfied with the quality,1,>48h
132,female,18-25,east,fashion,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,24,yes,no,1,0,excellent product exceeded expectations,1,12-24h
133,male,18-25,south,fashion,online,nykaa,4,fast delivery and great packaging.,positive,39,yes,no,1,0,fast delivery and great packaging,1,24-48h
134,female,36-45,east,automobile,online,croma,2,customer service was unhelpful.,negative,70,no,yes,0,1,customer service was unhelpful,-1,>48h
135,other,46-60,west,automobile,online,shopclues,2,product stopped working after few days.,negative,36,yes,yes,1,1,product stopped working after few days,-1,24-48h
136,male,26-35,north,beauty,online,others,2,product stopped working after few days.,negative,36,yes,yes,1,1,product stopped working after few days,-1,24-48h
137,female,26-35,west,automobile,online,shopclues,2,late delivery and poor packaging.,negative,6,yes,yes,1,1,late delivery and poor packaging,-1,<12h
138,male,60+,central,electronics,online,myntra,2,very disappointed with the quality.,negative,23,yes,yes,1,1,very disappointed with the quality,-1,12-24h
139,female,60+,central,home & kitchen,online,lenskart,4,great value for money.,positive,6,yes,no,1,0,great value for money,1,<12h
140,female,36-45,north,electronics,online,meesho,4,great value for money.,positive,48,no,no,0,0,great value for money,1,24-48h
141,other,18-25,east,groceries,online,reliance digital,2,customer service was unhelpful.,negative,34,yes,yes,1,1,customer service was unhelpful,-1,24-48h
142,male,46-60,south,electronics,online,others,2,product stopped working after few days.,negative,11,yes,yes,1,1,product stopped working after few days,-1,<12h
143,male,46-60,west,books,online,lenskart,4,"amazing experience, highly recommend!",positive,71,no,no,0,0,amazing experience highly recommend,1,>48h
144,female,60+,south,beauty,online,ajio,1,late delivery and poor packaging.,negative,62,no,yes,0,1,late delivery and poor packaging,-1,>48h
145,other,60+,south,automobile,online,zepto,3,"product is okay, nothing special.",neutral,4,yes,no,1,0,product is okay nothing special,0,<12h
146,other,46-60,north,sports,online,amazon,2,late delivery and poor packaging.,negative,71,no,yes,0,1,late delivery and poor packaging,-1,>48h
147,male,18-25,east,electronics,online,myntra,3,"delivery was fine, product is decent.",neutral,47,yes,no,1,0,delivery was fine product is decent,0,24-48h
148,male,26-35,east,groceries,online,boat,3,neutral about the quality.,neutral,45,yes,no,1,0,neutral about the quality,0,24-48h
149,other,46-60,east,electronics,online,zepto,1,very disappointed with the quality.,negative,63,no,yes,0,1,very disappointed with the quality,-1,>48h
150,male,46-60,south,electronics,online,others,2,late delivery and poor packaging.,negative,9,yes,yes,1,1,late delivery and poor packaging,-1,<12h
151,other,36-45,west,travel,online,swiggy instamart,3,neutral about the quality.,neutral,66,no,no,0,0,neutral about the quality,0,>48h
152,male,36-45,west,travel,online,jiomart,4,great value for money.,positive,66,no,no,0,0,great value for money,1,>48h
153,other,46-60,north,fashion,online,amazon,5,fast delivery and great packaging.,positive,52,no,no,0,0,fast delivery and great packaging,1,>48h
154,male,36-45,south,groceries,online,flipkart,1,customer service was unhelpful.,negative,8,yes,yes,1,1,customer service was unhelpful,-1,<12h
155,female,18-25,west,home & kitchen,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,39,yes,no,1,0,amazing experience highly recommend,1,24-48h
156,female,60+,north,groceries,online,boat,4,"amazing experience, highly recommend!",positive,10,yes,no,1,0,amazing experience highly recommend,1,<12h
157,male,26-35,south,sports,online,facebook marketplace,1,product stopped working after few days.,negative,21,yes,yes,1,1,product stopped working after few days,-1,12-24h
158,female,26-35,central,groceries,online,tata cliq,2,very disappointed with the quality.,negative,51,no,yes,0,1,very disappointed with the quality,-1,>48h
159,female,18-25,east,books,online,zepto,1,product stopped working after few days.,negative,28,yes,yes,1,1,product stopped working after few days,-1,24-48h
160,other,36-45,east,electronics,online,bigbasket,1,late delivery and poor packaging.,negative,52,no,yes,0,1,late delivery and poor packaging,-1,>48h
161,other,60+,west,sports,online,croma,2,not worth the price.,negative,34,yes,yes,1,1,not worth the price,-1,24-48h
162,female,18-25,south,automobile,online,facebook marketplace,2,customer service was unhelpful.,negative,17,yes,yes,1,1,customer service was unhelpful,-1,12-24h
163,female,26-35,central,beauty,online,bigbasket,4,great value for money.,positive,29,yes,no,1,0,great value for money,1,24-48h
164,female,18-25,north,sports,online,flipkart,1,product stopped working after few days.,negative,49,no,yes,0,1,product stopped working after few days,-1,>48h
165,female,18-25,east,sports,online,meesho,1,very disappointed with the quality.,negative,58,no,yes,0,1,very disappointed with the quality,-1,>48h
166,other,46-60,east,fashion,online,shopclues,5,fast delivery and great packaging.,positive,66,no,no,0,0,fast delivery and great packaging,1,>48h
167,male,26-35,south,books,online,facebook marketplace,3,"delivery was fine, product is decent.",neutral,66,no,no,0,0,delivery was fine product is decent,0,>48h
168,male,46-60,west,home & kitchen,online,amazon,2,very disappointed with the quality.,negative,60,no,yes,0,1,very disappointed with the quality,-1,>48h
169,female,36-45,north,fashion,online,others,5,"amazing experience, highly recommend!",positive,27,yes,no,1,0,amazing experience highly recommend,1,24-48h
170,male,46-60,west,beauty,online,tata cliq,5,fast delivery and great packaging.,positive,19,yes,no,1,0,fast delivery and great packaging,1,12-24h
171,male,18-25,west,sports,online,bigbasket,1,customer service was unhelpful.,negative,34,yes,yes,1,1,customer service was unhelpful,-1,24-48h
172,male,26-35,west,groceries,online,shopclues,2,very disappointed with the quality.,negative,25,yes,yes,1,1,very disappointed with the quality,-1,24-48h
173,other,36-45,south,electronics,online,jiomart,3,"product is okay, nothing special.",neutral,51,no,no,0,0,product is okay nothing special,0,>48h
174,other,18-25,north,travel,online,paytm mall,1,customer service was unhelpful.,negative,70,no,yes,0,1,customer service was unhelpful,-1,>48h
175,other,36-45,east,books,online,shopclues,4,fast delivery and great packaging.,positive,69,no,no,0,0,fast delivery and great packaging,1,>48h
176,female,36-45,central,beauty,online,tata cliq,1,late delivery and poor packaging.,negative,33,yes,yes,1,1,late delivery and poor packaging,-1,24-48h
177,other,36-45,west,groceries,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,33,yes,no,1,0,amazing experience highly recommend,1,24-48h
178,male,36-45,south,books,online,bigbasket,2,not worth the price.,negative,61,no,yes,0,1,not worth the price,-1,>48h
179,other,46-60,east,groceries,online,nykaa,3,neutral about the quality.,neutral,48,no,no,0,0,neutral about the quality,0,24-48h
180,female,46-60,south,fashion,online,reliance digital,5,very satisfied with the quality.,positive,3,yes,no,1,0,very satisfied with the quality,1,<12h
181,other,18-25,west,home & kitchen,online,lenskart,3,neutral about the quality.,neutral,16,yes,no,1,0,neutral about the quality,0,12-24h
182,male,46-60,east,sports,online,jiomart,3,"delivery was fine, product is decent.",neutral,3,yes,no,1,0,delivery was fine product is decent,0,<12h
183,female,60+,east,automobile,online,bigbasket,5,great value for money.,positive,5,yes,no,1,0,great value for money,1,<12h
184,other,60+,north,home & kitchen,online,reliance digital,4,"amazing experience, highly recommend!",positive,12,yes,no,1,0,amazing experience highly recommend,1,<12h
185,female,26-35,west,fashion,online,facebook marketplace,3,neutral about the quality.,neutral,33,yes,no,1,0,neutral about the quality,0,24-48h
186,female,46-60,east,travel,online,croma,3,"product is okay, nothing special.",neutral,20,yes,no,1,0,product is okay nothing special,0,12-24h
187,male,60+,north,electronics,online,ajio,4,"amazing experience, highly recommend!",positive,43,yes,no,1,0,amazing experience highly recommend,1,24-48h
188,female,26-35,north,beauty,online,reliance digital,2,customer service was unhelpful.,negative,63,no,yes,0,1,customer service was unhelpful,-1,>48h
189,male,60+,west,fashion,online,flipkart,1,very disappointed with the quality.,negative,7,yes,yes,1,1,very disappointed with the quality,-1,<12h
190,male,46-60,west,sports,online,croma,4,excellent product! exceeded expectations.,positive,11,yes,no,1,0,excellent product exceeded expectations,1,<12h
191,other,46-60,east,groceries,online,others,4,"amazing experience, highly recommend!",positive,42,yes,no,1,0,amazing experience highly recommend,1,24-48h
192,female,46-60,west,electronics,online,myntra,3,average experience overall.,neutral,59,no,no,0,0,average experience overall,0,>48h
193,female,46-60,west,fashion,online,nykaa,2,not worth the price.,negative,46,yes,yes,1,1,not worth the price,-1,24-48h
194,female,60+,west,beauty,online,nykaa,1,customer service was unhelpful.,negative,50,no,yes,0,1,customer service was unhelpful,-1,>48h
195,other,60+,south,fashion,online,swiggy instamart,1,customer service was unhelpful.,negative,66,no,yes,0,1,customer service was unhelpful,-1,>48h
196,male,36-45,east,sports,online,zepto,3,"product is okay, nothing special.",neutral,34,yes,no,1,0,product is okay nothing special,0,24-48h
197,female,36-45,central,books,online,jiomart,1,very disappointed with the quality.,negative,21,yes,yes,1,1,very disappointed with the quality,-1,12-24h
198,male,46-60,south,home & kitchen,online,reliance digital,4,very satisfied with the quality.,positive,38,yes,no,1,0,very satisfied with the quality,1,24-48h
199,female,60+,west,travel,online,croma,1,product stopped working after few days.,negative,59,no,yes,0,1,product stopped working after few days,-1,>48h
200,other,26-35,central,automobile,online,shopclues,2,product stopped working after few days.,negative,42,yes,yes,1,1,product stopped working after few days,-1,24-48h
201,female,26-35,east,electronics,online,flipkart,5,"amazing experience, highly recommend!",positive,69,no,no,0,0,amazing experience highly recommend,1,>48h
202,other,46-60,east,beauty,online,paytm mall,2,not worth the price.,negative,22,yes,yes,1,1,not worth the price,-1,12-24h
203,female,60+,north,beauty,online,lenskart,3,average experience overall.,neutral,47,yes,no,1,0,average experience overall,0,24-48h
204,other,60+,east,sports,online,nykaa,4,excellent product! exceeded expectations.,positive,57,no,no,0,0,excellent product exceeded expectations,1,>48h
205,female,18-25,north,beauty,online,snapdeal,1,late delivery and poor packaging.,negative,36,yes,yes,1,1,late delivery and poor packaging,-1,24-48h
206,male,60+,north,groceries,online,croma,2,customer service was unhelpful.,negative,12,yes,yes,1,1,customer service was unhelpful,-1,<12h
207,other,46-60,east,sports,online,ajio,3,average experience overall.,neutral,66,no,no,0,0,average experience overall,0,>48h
208,other,18-25,south,automobile,online,facebook marketplace,2,product stopped working after few days.,negative,12,yes,yes,1,1,product stopped working after few days,-1,<12h
209,male,18-25,south,books,online,croma,5,excellent product! exceeded expectations.,positive,38,yes,no,1,0,excellent product exceeded expectations,1,24-48h
210,other,26-35,south,electronics,online,amazon,4,"amazing experience, highly recommend!",positive,44,yes,no,1,0,amazing experience highly recommend,1,24-48h
211,male,60+,east,fashion,online,swiggy instamart,1,customer service was unhelpful.,negative,15,yes,yes,1,1,customer service was unhelpful,-1,12-24h
212,other,46-60,west,beauty,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,23,yes,no,1,0,excellent product exceeded expectations,1,12-24h
213,other,36-45,east,groceries,online,paytm mall,2,not worth the price.,negative,45,yes,yes,1,1,not worth the price,-1,24-48h
